,author_display_name,author_channel_id,comment,comment_last_updated,clean_comment
185,Andy Thompson,UCjUHE2v7owA8o4h0anF9-xA,"""That silly ring it wasn't meant to be"" brings tears of happiness to my eyes. So thankful I found the person I truly feel I was meant to be with. So thankful for this song 🙏 ❤",2021-05-02 15:58:02+00:00,that silly ring meant be brings tears happiness eyes thankful found person truly feel meant with thankful song 🙏 ❤
186,Wishing Tree,UCmhDuj1r66kar7ge_3A8htg,I finally found this song. I heard it on the radio and I had the hardest time trying to find it again.,2021-04-30 18:59:27+00:00,finally found song heard radio hardest time trying find again
187,Jenni Nowak,UCHKMIVclH2Pf_0BodsCwyEw,This video is lame af. Love the song but wtf??come on..do something..almost makes me hate the song..but i just close my eyes..just cant watch it..wtff.is wrong with people????,2021-04-30 03:17:19+00:00,video lame af love song wtfcome ondo somethingalmost makes hate songbut close eyesjust cant watch itwtffis wrong people
188,Marzena Nowak,UCebQQ9r9Uu31z42xWiKfXXw,❤❤❤,2021-04-24 15:22:25+00:00,❤❤❤
189,Nathan Miranda,UC2TLZgzFrJcKBHV2Y5ARDvg,The colours 😍,2021-04-20 12:12:39+00:00,colours 😍
190,Trashcus Trashford,UCy2fqJ-yDZwO1Tj4jRqrIyQ,Our wedding song??,2021-04-19 18:47:03+00:00,wedding song
191,Aniza,UCiA3T3-iT3wvzA3B6bOr5ew,All the ppl here are too pure and must be protected at all costs 😍💜,2021-04-19 16:40:59+00:00,ppl pure must protected costs 😍💜
192,Vidhi,UCGquB1AOePM0KHaxK7O8znQ,0:38 is the new thumbnail!?,2021-04-18 20:46:13+00:00,038 new thumbnail
193,sherlock homeless,UCIa4EzC0wXWkYvgVcoMdzGg,I thank postipai for giving me this cool song,2021-04-16 16:03:32+00:00,thank postipai giving cool song
194,Sabrina R,UCKV21Qo0bK48bKg1sY_2WQA,"Fuck, this song is so good 🔥🔥🔥",2021-04-16 01:17:09+00:00,fuck song good 🔥🔥🔥
195,Angelica Faith A. De la Cruz,UCfxFBfcx9rR3k9gsUeXFa8A,I'm keeping this away from Tiktok...,2021-04-13 15:06:19+00:00,keeping away tiktok
196,Godzilla Kaiju GK! 🅥,UCsUYuxEpsc8aKi6R_iH76gw,I typed in bumblebee vs carpenter bee and I saw this...,2021-04-10 05:29:30+00:00,typed bumblebee vs carpenter bee saw this
197,elle,UCLf067-HI583ncmhslANlug,this whole thing radiates comfort,2021-04-09 15:54:27+00:00,whole thing radiates comfort
198,HUH?!,UCusXJDUcS4k47NO8czAfedg,I randomly got this in my recommend and I must say great song.\^o^/,2021-04-09 01:41:47+00:00,randomly got recommend must say great songo
199,Cas Poll,UCAB0b5O-78DF7oGjuaV9mJA,Hits the heart ❤,2021-04-06 02:35:40+00:00,hits heart ❤
200,azureyale,UCqe2tbBwpRfoQdXRLFf_79A,Hey guys🥺👉👈,2021-04-03 05:22:47+00:00,hey guys🥺👉👈
201,hoodvogue,UCiBaWkybH_O-IG3VVUmo1Qg,Fuck this song,2021-03-28 04:06:39+00:00,fuck song
202,nawa siri,UCrI4ZzIhvADwWtrfpiXzgnw,Thank you for this song to be a part of my wedding :),2021-03-27 18:02:28+00:00,thank song part wedding 
203,MGG_JJK,UCoMKKKmz-cc8RQLhAC4UMLA,💜💜💜,2021-03-27 12:19:21+00:00,💜💜💜
204,enrique matakikos,UCWP0UZzL4hn0TwBcdpvg21A,Fabulosa canción,2021-03-24 18:42:53+00:00,fabulosa canción
205,MGG_JJK,UCoMKKKmz-cc8RQLhAC4UMLA,💜💜💜,2021-03-20 09:04:52+00:00,💜💜💜
206,O.T.,UCXG_85kjJ3Omkgx2slmCJ9Q,"They coulda done something poignant with this song’s music video. 
#disappointing",2021-03-20 03:27:41+00:00,coulda done something poignant song music video disappointing
207,LUMA RUVE,UCSChtRVAvzDbXfDGfEd1zEg,So good,2021-03-19 05:39:29+00:00,good
208,melis livia,UCygvn9nJZrS2rgS59LaYEtQ,"”you‘re the one, you‘re the only one“ :,)",2021-03-18 13:50:29+00:00,”you‘re one you‘re one“ 
209,AboutaGirlNamedJessie,UCEQUX6pF-ua_dmzHi8vMpJg,"Thanks Bed, Bath, and Beyond radio! Makes me fold towels happier :))",2021-03-15 22:40:48+00:00,thanks bed bath beyond radio makes fold towels happier 
210,MOHAMMED EL BOUZIDI,UC4WXXrDt8O2LEtFDJnJz69Q,Such a great song,2021-03-15 21:12:26+00:00,great song
211,zhu tokpam,UCZn2FAuvDd6S8s5lJ1d9QBA,This song meeds more ✨appreciation ✨,2021-03-12 16:13:40+00:00,song meeds ✨appreciation ✨
212,Emily Bratton,UC_3QJ541pw4tiPZzxgoFk8A,Such a cute / silly video! Love it 💕,2021-03-06 11:38:06+00:00,cute  silly video love 💕
213,lunar Skies,UCJZg7F2QrZUyV4TPL31Bkkw,This song doesn't hit the same because I'm not in Colorado 😓😭😭,2021-03-04 00:19:31+00:00,song hit colorado 😓😭😭
214,Cara,UCqIYufFfDXXmqTovyHP71kA,I swear you wrote this song for me and my love 💚,2021-03-01 03:55:23+00:00,swear wrote song love 💚
215,Jaghanath Cordova Espada,UCaIv8CdpVBQwdeJwumOeO9Q,"Radio doble 9, el mejor rock en lima",2021-02-28 00:00:11+00:00,radio doble 9 el mejor rock en lima
216,Kaniz Fatima,UCRT_QED5LMvQu4c5kHa0Yng,I wish I had found ur channel earlier. :),2021-02-27 13:15:23+00:00,wish found ur channel earlier 
217,Dylan Thompson,UCgu9BqomN7KQqyoyWfvLhLA,Used to call my girlfriend my honey bee. I wish I could say it again,2021-02-24 23:46:09+00:00,used call girlfriend honey bee wish could say
218,Anderson joseph,UCqXK7MAedk6mOdLhTatx4Pg,"I wuz zo buzy zearching for thiz   buzzing zong, jeezz but I love beesss <3",2021-02-22 18:37:46+00:00,wuz zo buzy zearching thiz buzzing zong jeezz love beesss 3
219,ZÉ Willas Ofc,UCCDjcjYwHBrnCSMJvYDf6HA,"Música incrível, clipe bem merda.",2021-02-21 21:42:29+00:00,música incrível clipe bem merda
220,Stephanie Beall,UCg-loqZi27tO_mG3dgZMpwA,Still trying to figure out how this is the same band that does Rivers and Roads...,2021-02-21 19:12:53+00:00,still trying figure band rivers roads
221,Edward Parkhill,UCZayLywFm9uprsWTUreZ1Bw,Have I been under a rock for a year. I heard this and me and my lady are living THIS song. I couldn't believe this when I heard this .... Played it 3x in a row I damn near know it now... Beautiful tune 🎶,2021-02-20 06:44:12+00:00,rock year heard lady living song could believe heard  played 3x row damn near know now beautiful tune 🎶
222,Darlene Reble,UCn9DWMF1dwFlWpuJtdZZjXw,"One of my fave song ❤️❤️
0:18 - 0:21 & 0:32 - 0:35

---> Someday IU
(1:20 - 1:59)",2021-02-14 04:20:16+00:00,one fave song ❤️❤️ 018  021  032  035  someday iu 120  159
223,Prof Pigeon,UCEWyG-dAJKbQRL_9DR2g1EQ,"Me for a while ""I don't love their new stuff that much"".. then this song dropped and Im like damn ok still got it",2021-02-11 21:41:38+00:00,i love new stuff much song dropped im like damn ok still got
224,Nádia Cruz,UC6UtLiXvfyKPONFJh8_AOQw,"My friend showed me this song, i love that guy for it",2021-02-08 08:12:17+00:00,friend showed song love guy
225,Lave Del Rey,UC-4oxquUlc59Mfzub80AWJQ,This song reminds me of my boyfriend because we call each other Honey Bun and Sugar Bee 🏳️‍🌈🐝💕,2021-02-07 15:28:54+00:00,song reminds boyfriend call honey bun sugar bee 🏳️‍🌈🐝💕
226,delta Xteral,UCH1-jW60MGQGFBK_V8pIV6w,i really love this song. sound good!,2021-02-06 14:45:00+00:00,really love song sound good
227,Mae Castillo,UChOP_rfo8JeCMJ6TzvHiPNA,"This song removes my anxiety 
👁️👄👁️",2021-02-05 07:59:50+00:00,song removes anxiety 👁️👄👁️
228,Dr Julius No,UCmP8TktrCdDV4FVKykizXbg,"1 YEAR LATER, STILLS SOUND AMAZINGLY GOOD!!!",2021-02-02 05:02:27+00:00,1 year later stills sound amazingly good
229,J Shankar,UCxHE3wXwge-pJXYySfC-ZwQ,According to all known laws of aviation...,2021-01-31 03:40:34+00:00,according known laws aviation
230,D-MAK Productions,UCcIUHRIKjU46LMGS44rw4EA,"You talk about some tough topics in the video production industry! We like what you do, keep going. Anytime you're in Arizona let us know. If you can, message us @dmakproductions on IG and we can connect. You do really great work.",2021-01-29 07:43:08+00:00,talk tough topics video production industry like do keep going anytime arizona let us know can message us dmakproductions ig connect really great work
231,SunGoldBee,UCnl2PhNl4NbvqCTKQ1krI3Q,Very nice!👌🎶🐝💫🌿🤍,2021-01-27 19:54:04+00:00,nice👌🎶🐝💫🌿🤍
232,Critical Potential,UC8uERVoIeYUoKSIjUIT8p4Q,I love this song it's a very pretty song. I makes me want to do an animatic of a couple that's just trying their best that through it all they atleast have each other...I might do it,2021-01-23 13:39:13+00:00,love song pretty song makes want animatic couple trying best atleast otheri might
233,sam cutie,UCHAj5VNsjo2CZa7zg8X_Pow,a treasure is found !!!!!,2021-01-14 19:00:07+00:00,treasure found 
234,Alyssa Torres,UC9nnVdxQqcAFnDSO1P1-xQQ,🧡🤍,2021-01-07 08:37:51+00:00,🧡🤍
235,2ndEarth,UC9308ZpbI7GX_Ze4eIyT0lg,"First time I commented on a music video  in quite sometime — I freaking LOVE ❤️ THIS SONG, her voice is like silk. Such a sweet song too.",2021-01-07 03:35:37+00:00,first time commented music video quite sometime  freaking love ❤️ song voice like silk sweet song too
236,joyfulllovesyou,UCdtzK5Aw2h_NorvyBLvfrFg,when I heard this song at first I could've sworn it was x ambassadors lol,2021-01-05 23:27:12+00:00,heard song first could sworn x ambassadors lol
237,Jiekaye Gedorio,UCHSCUKP7A_vmMwu-UdA0NTw,Miss na kita baby ko :(,2022-07-24 12:07:17+00:00,miss na kita baby ko 
238,Varsha Narayan,UC0IJM6Rha5RX3hVIJkkI93Q,This song relieves my anxiety ❤,2020-12-30 19:15:32+00:00,song relieves anxiety ❤
239,Ganesh Deshmukh,UC_mUqZ0_h7w_9TFfvAporpw,WKQX Chicago brought me here!,2020-12-30 13:08:44+00:00,wkqx chicago brought here
240,Beverly Joy Velasco,UCBqi-gVQguIGCtzX1VvEl7Q,Gwy brought me here😆 anyone? AOTD the vid clip😄,2020-12-28 01:27:25+00:00,gwy brought here😆 anyone aotd vid clip😄
241,bandgeek89,UCato8Am2ooaNkI4NfWvyw1w,"As a Seattle native, I was so proud to recognize almost spot they filmed in!  That giant tire and spiral staircase is at Volunteer Park in Capitol Hill, just north of downtown.",2020-12-25 08:00:09+00:00,seattle native proud recognize almost spot filmed in giant tire spiral staircase volunteer park capitol hill north downtown
242,Joe Schmoe,UCyLFAxkUV_BrvVnBC78GSEg,I thought shawn mendez and billy eilish sang this song...,2020-12-24 12:47:07+00:00,thought shawn mendez billy eilish sang song
243,Prapti,UCwokRhWgZw4-5zMFTG07PwA,See what I mean when I said it's a pretty song? I love it so much. Very underrated.,2020-12-23 18:39:40+00:00,see mean said pretty song love much underrated
244,Ruth S.,UC7fFDyYl9Lzm0Nplcq6ZNLA,"This song just makes me feel things- happiness, sadness, nostalgia. I love this song so much, very underrated.",2020-12-22 20:44:45+00:00,song makes feel things happiness sadness nostalgia love song much underrated
245,Ash V,UCZfAqZAnvnaDvLSGbfxhC5Q,my best friend sent this to me saying it reminds me of them and this is the best compliment I've ever received,2020-12-22 05:21:19+00:00,best friend sent saying reminds best compliment ever received
246,Claire Gold Vlogs,UC_ldW5TeZxpyzJZogwrE0kg,This is Such a beautiful song. Very underrated. This deserves so much views 😍😇,2020-12-21 12:30:07+00:00,beautiful song underrated deserves much views 😍😇
247,Zelyuu,UC3P5hdclPoK1V4DoM9pTWuA,Moment of silence who havent found this music😑,2020-12-20 05:41:03+00:00,moment silence havent found music😑
248,the_sauropod,UCLIbp1nu0Jvwkrz84F5m3bw,"Check out my album 💿 
https://soundcloud.app.goo.gl/wtUodRg4okHTnLqz5",2020-12-19 04:05:14+00:00,check album 💿 httpssoundcloudappgooglwtuodrg4okhtnlqz5
249,Xiao Phong Lee,UCqGwcj--OrQFHIQ16sUICjg,I'm in love with this song.  Give me so many good vibes.❤️,2020-12-16 00:48:01+00:00,love song give many good vibes❤️
250,Alyssa Bálor,UC3H_243yYLJj4LnYY6mjtrA,OMG !!!!!!!!! I have been looking for this song for sooooooooo long .. So glad that I finally found it .. I love this song sooooooooo much !!!!!!!!!! 😊🙂☺😍💙,2020-12-15 22:16:50+00:00,omg  looking song sooooooooo long  glad finally found  love song sooooooooo much  😊🙂☺😍💙
251,gangster rabbit,UCxVxrl0nvqrcDYntRxvYorQ,discovered it on spotify a while ago... just wanted to say this is my new fave<3,2020-12-15 05:18:35+00:00,discovered spotify ago wanted say new fave3
252,Cheklet Tadefa,UCSiOWnaswlNVeemD8H10BHQ,This song is one of my favourite and I keep on repeating this on my playlist 💚🌻,2020-12-14 23:37:04+00:00,song one favourite keep repeating playlist 💚🌻
253,Katja Barković,UCoM_2Vf7F7IdfPi2eI3yQ-A,Wow your sound is perfect,2020-12-12 23:10:14+00:00,wow sound perfect
254,Shania Ogario,UCEOx3R1vJTax7FvSljfFT8g,seriously this song hits different everytime you play it,2020-12-12 11:20:46+00:00,seriously song hits different everytime play
255,Cheklet Tadefa,UCSiOWnaswlNVeemD8H10BHQ,This song is so special to me 💚,2020-12-11 11:09:20+00:00,song special 💚
256,Anthony06996,UCiW02ndKPtz4DGmoFeQqHCA,Ms Gennelle 🧡,2020-12-09 08:56:00+00:00,ms gennelle 🧡
257,Jackson Jotaeme,UC_XBrxIiB_e98_EzsV3wtsw,Flora cash,2020-12-08 11:28:07+00:00,flora cash
258,Leonardo Da Vinchii,UC0-bIyq8T0I-dpk_RM7x1JQ,Don't ask me how to make a hit out of a hit,2020-12-07 20:53:02+00:00,ask make hit hit
259,Becca Leahy,UC4_BbTpsE3A4w6JO34VNs_g,My husband recently showed me this song saying it reminded him of me 🥺 made me feel so loved.,2020-12-06 19:19:56+00:00,husband recently showed song saying reminded 🥺 made feel loved
260,Vemavarapu Aditya,UCTxba_BjF-HeNA8BJaMmq3w,One of the best songs ever,2020-12-05 05:26:08+00:00,one best songs ever
261,Lor raine,UC5yfLp_0WCSaai8vGEhvamQ,"Machismis man sab ta ug e share ko nis twitter oy lol, such a cute song love it, might play it to my boo char",2020-12-03 16:56:18+00:00,machismis man sab ta ug e share ko nis twitter oy lol cute song love it might play boo char
262,Joliene Herrington,UCkOqqExbML6AW6EL6wAW1xA,"Can someone help me- if this is a love song then what does it mean “that silly ring, it wasn’t meant to be?” 

Genuinely confused",2020-12-03 13:32:41+00:00,someone help me love song mean “that silly ring meant be” genuinely confused
263,Dawson Balencia,UCHAeyVHaaO_88k9qWjLRYEA,"When I first heard this song a year ago I knew that if I ever found someone I'd call her ""honeybee"".
As of now, my fiancé still lives the nickname.",2020-12-02 19:01:41+00:00,first heard song year ago knew ever found someone would call honeybee now fiancé still lives nickname
264,Jessica Adams,UCnw3qeINu_sHli8Wsn16_ZQ,✨,2020-12-01 18:39:46+00:00,✨
265,LeeAnn Hewitt,UCX84Fl07YoUbE8DSwKDM5RA,🐝,2020-12-01 12:41:34+00:00,🐝
266,Rebecca Dolashewich,UC_dnOArpj9gWCp0oN5w0euw,🌬🐝🐝🐝🐝🐝🐝🐝,2020-11-29 18:03:45+00:00,🌬🐝🐝🐝🐝🐝🐝🐝
267,Leannah Julia,UCLW2PwQTxzfel4rookluRww,i've heard a lot of good songs that also became my favorite. But this song is superb! Like I can't stop myself listening to this song for almost a month now. And idk why this song is underrated. This song deserves an award,2020-11-28 06:34:50+00:00,heard lot good songs also became favorite song superb like stop listening song almost month now idk song underrated song deserves award
268,Olivia Nessler,UCmLO6kPVZ0t5um8XNIFndIw,Freaking love this and whole vibe..dang..hitting hard differently..thank you!!  Been awhile I've heard such great music!!!!!!!,2020-11-28 02:05:29+00:00,freaking love whole vibedanghitting hard differentlythank you awhile heard great music
269,sliverfreak9,UCA2VWMkr4wfyEhyTAuAZoBg,I showed this to my boyfriend and he told me I am his honeybee 🥺,2020-11-27 13:26:13+00:00,showed boyfriend told honeybee 🥺
270,Mako Goldshark,UCJYE0dCD95V4XlbwXWfIZsA,"This is a great song. The chorus kind of reminds me of ""Honey pie"" by the Beatles.",2020-11-24 16:08:26+00:00,great song chorus kind reminds honey pie beatles
271,bee is cool,UCG6wEoDHnna1_oMmxmLK2lQ,im nonbinary and my name is bee and this just makes my they/them heart so happy omg🥺,2020-11-23 14:14:45+00:00,im nonbinary name bee makes theythem heart happy omg🥺
272,Crimson Red,UC1fr-JZCvXri1RjMoIgKeWg,I love this ♥️,2020-11-21 17:20:23+00:00,love ♥️
273,oscar sanchez,UCnS3dFwmF2vlrKpOqe58CaA,I can imagine every August and when I see sunflowers 😌,2020-11-20 17:32:19+00:00,imagine every august see sunflowers 😌
274,Vincey18 G,UCXBrTjHyNjKvuY_tMFYAFcQ,I'm forever aloneeeeeee 😕,2020-11-19 09:39:21+00:00,forever aloneeeeeee 😕
275,Paige Mcgarvey,UCInwTJ3n5khmJapT-LG2Prg,This song is awesome when I heard it  I said mom what is this called because I wanted to play it in my room also love this vid and love y’all,2020-11-16 23:32:36+00:00,song awesome heard said mom called wanted play room also love vid love yall
276,Lety Nava,UCVhxupRmrrOcok9gxFVvhNA,The first time I heard this song made me cry like a little girl. I thought about my broken marriage and how I used to call my husband hunnybunny. I thought how I fucked up and we  couldn't make it work. He died last month and I'm sure he still loved me as I loved him.,2020-11-16 05:55:47+00:00,first time heard song made cry like little girl thought broken marriage used call husband hunnybunny thought fucked could make work died last month sure still loved loved him
277,glb510,UCqha4gpUINdIK9bIzBZEmSw,been away for a while now you got me feelin like a child now...,2020-11-14 06:58:00+00:00,away got feelin like child now
278,hey sup?,UCcLgB0hnvLIjVQEwa_xi-CQ,How can I send him this song without actually sending🙂,2020-11-13 07:10:10+00:00,send song without actually sending🙂
279,Kenneth Enoch,UCVLBiz20l_KXa9MgK-RYaTg,"this is THE fucking song, only 2m views wtf people",2020-11-12 03:57:01+00:00,fucking song 2m views wtf people
280,DeAnna Mancuso,UCRObyM9WccI-8nXY2b9QV7g,SO ILL FIND ANOTHER TREEEEEE,2020-11-12 00:28:23+00:00,ill find another treeeeee
281,no name,UCcqCI0PbhU5bUkgqZb78-6w,yo dawg where dis filmed yeezy?,2020-11-11 21:51:30+00:00,yo dawg dis filmed yeezy
282,rose blossom,UCwD5jYmkbbT7r8Mi0X33mEQ,"I call my girlfriend honeybee, just found this song today and It describes how i feel about her perfectly",2020-11-10 01:54:24+00:00,call girlfriend honeybee found song today describes feel perfectly
283,Laura Bhering,UCi6SH28FuohDGmTPu4M7EYQ,"Amei a musica, lindissima 😍🥰🥰🎶🎶",2020-11-08 14:34:17+00:00,amei musica lindissima 😍🥰🥰🎶🎶
284,crazygrrl53,UC8NSjZelTgqh-vYPhrZ7e2Q,This song gives me PNW vibes,2020-11-05 04:13:26+00:00,song gives pnw vibes
285,Anthony Cavagnaro,UC_jWCxt2HXiHVCxL5TJr1YA,Played this song for the first dance at my wedding last week. I call my wife my honey bee. Every time I here this song I think about the love we share.,2020-11-04 14:49:04+00:00,played song first dance wedding last week call wife honey bee every time song think love share
286,Kai Rojas,UCmCXNJy72rm3yY4dfLQ__3w,"This is kinda silly but every time I listen to this song, I think of my partner that lives across the country and it makes me happy :)",2020-11-04 06:49:09+00:00,kinda silly every time listen song think partner lives across country makes happy 
287,karlatfcommunity,UC566mNb-iV7lfeU-LXI4ZKA,Twin flame,2020-11-03 02:52:31+00:00,twin flame
288,Idaho Hermit Photography,UCaWdNQyHdAlz67Mo0o5HKQg,How does this have so few likes,2020-11-01 00:20:28+00:00,likes
289,Matt,UC4lV9Z6lFMqvMM35HArrK2w,Why doesn't this have 1 billion views..,2020-10-31 16:04:03+00:00,1 billion views
290,Brooks Pittman,UCIe8_B-RQ4PIMLtU8hFt2vw,"I think it is a beautiful song, my wife and I both love, thank you",2020-10-31 13:13:37+00:00,think beautiful song wife love thank
291,Ellen BlueSky,UCewYYIF5nBKIHtIcBFf2zJw,I love this song!! It's beautiful and the video is so fun and creative.,2020-10-28 01:52:57+00:00,love song beautiful video fun creative
292,KreeZafi,UCD0X40dE5mRwqQ8G6vhLN4Q,Ngl I went into this thinking it was gonna be a Steam Powered Giraffe cover haha,2020-10-27 16:47:05+00:00,ngl went thinking gonna steam powered giraffe cover haha
293,Matthew Montembeau,UC-hcSF6ukmckoqBQmFGYjqA,I thought bees don't like water....,2020-10-26 16:43:53+00:00,thought bees like water
294,Jack Brady,UCFBLu6c3T-tf3RZ6DtSlZEA,I LOVE THIS BAND ONE OF MY FAVORITE SONGS IS SHAKE DOWN IN THE VALLEY AND LOST IN MY MIND!!!!!!!!!!,2020-10-26 13:51:55+00:00,love band one favorite songs shake valley lost mind
295,CateDoge,UCzUYlLmbNxpeXW4z2XY1TBg,Yes.,2020-10-25 18:41:24+00:00,yes
296,Mookaron Tha Don,UCIEf5B5WshhjvwQwuziCzTA,Just seen them perform this on the Late Late show with James Corden. I had to come thumb this up! 👍🏼,2020-10-22 06:44:38+00:00,seen perform late late show james corden come thumb up 👍🏼
297,J.G.Beasley,UCB5RtBMMNa1S0zcw5NzsvHg,"I love the tempo, the lyrics and the sequence of events, I hear a top ten hit, no doubt a number one platinum or double platinum. Keep up the good hits guys, I'm feeling you.",2020-10-22 06:06:53+00:00,love tempo lyrics sequence events hear top ten hit doubt number one platinum double platinum keep good hits guys feeling you
298,Tonja Hodge Griffith,UCJ0wHQhFQcV4mEp1ARb2b1g,Awesome!!! Love it!!,2020-10-22 05:34:56+00:00,awesome love it
299,katiesokolic,UCTUDIU5MwzK0Z_aNzzy3SjQ,This will be my fiance and my wedding song. ❤,2020-10-22 01:22:14+00:00,fiance wedding song ❤
300,2much2say,UCaTHb9-KHGjDn2iFAoZOlEw,"I just want my ex-wife to know that no matter what happens to us, she will always be my honeybee.",2020-10-20 02:27:04+00:00,want exwife know matter happens us always honeybee
301,James Mccormack,UCVdg9SXTZiPdBzTSTwkKJ3g,If I could just be what she wanted...,2020-10-19 12:01:16+00:00,could wanted
302,Genee Snider,UC8qiJ99kDVPuVLhy9Uib57g,ZWS🖤,2020-10-18 06:10:44+00:00,zws🖤
303,Rose Del Rosario,UCojoZZFOhNC-Hp-g5_Tx7KA,💛🖤💛🖤💛,2020-10-15 02:43:04+00:00,💛🖤💛🖤💛
304,Onita Fine,UCHX6ObwKicGhDY5uXKvlEsA,The Bee movie in human version,2020-10-11 17:08:03+00:00,bee movie human version
305,Angelika Badayos,UC6QlnQWrpbXosIZ3XIukABA,"this is me and my boyfriend's favorite song.

everytime we have a misunderstanding, i always come and listen to this.",2020-10-10 17:51:15+00:00,boyfriend favorite song everytime misunderstanding always come listen this
306,James Kubli,UCAshkRSmxMyeIJxJVYa86Bw,This is the bee's knees!,2020-10-09 02:03:59+00:00,bee knees
307,Antlereddruid,UC-CARIRMnihAMb-2COO953A,I prefer the SPG song with the same title.,2020-10-07 19:07:35+00:00,prefer spg song title
308,Sarah Carter,UCsvLs8I6sKh7PakFBxtxeYg,"This song gives me such unexplainable sadness, nostalgia, and deep feelings
Chills everytime I listen to it
Reminds me of my ex",2020-10-05 20:26:04+00:00,song gives unexplainable sadness nostalgia deep feelings chills everytime listen reminds ex
309,Brenda Pachuau,UCVgNZuWupH8V_T8zj0hHH9g,💜,2020-10-05 20:13:58+00:00,💜
310,Jessica Adams,UCnw3qeINu_sHli8Wsn16_ZQ,✨,2020-10-02 23:19:48+00:00,✨
311,Aspie Otaku,UCpGAyQ7jrzqMYU0fMCUR-Nw,"I love this song, i call my gf my honeybee.",2020-10-01 09:04:40+00:00,love song call gf honeybee
312,Reanne Domingo,UCEnFbmXeKqf3oLF8_zdRe-Q,"Looking up, always.




For the person who gives me fireflies,

Remember the little game we played when I suggested this song? I've always thought you're unparalleled when it comes to music. It surprised me to hear how much you liked this song, if you’re ever listening to this while reading please do take time to let the lyrics sink in. Whenever I let the music find me, I always look for you between the lines. I search in every corner for words that whisper your name to me like a message in a bottle launched in an endless sea. I realized how much I wanted you to be the one I spend the rest of my life with, no matter how many setbacks and obstructions we encounter to get there. You’re the only one who can set my heart on fire, placing a million fireflies fluttering on my chest. Nothing else matters, for I have my eyes only for you. My body is a field of sunflowers and you know what you can do.

P.S. I miss the way my chest hurts when you get too close. I hope I get to feel it again soon.",2020-10-01 07:07:29+00:00,looking up always person gives fireflies remember little game played suggested song always thought unparalleled comes music surprised hear much liked song ever listening reading please take time let lyrics sink in whenever let music find me always look lines search every corner words whisper name like message bottle launched endless sea realized much wanted one spend rest life with matter many setbacks obstructions encounter get there one set heart fire placing million fireflies fluttering chest nothing else matters eyes you body field sunflowers know do ps miss way chest hurts get close hope get feel soon
313,Kenneth Shinn,UChWbrdkcJ8YE6RUGe5CQIIg,This is absolutely my favorite song on so many levels I work out of town and this song reminds me of my heart so much and then I showed it to my new best friend on the road and I just love them both so much,2020-09-29 06:13:42+00:00,absolutely favorite song many levels work town song reminds heart much showed new best friend road love much
314,King•of•Hearts,UCzyiegjZbJPmCa9p2Pn_epQ,This song should have hit 100m views by now atleast,2020-09-28 19:58:51+00:00,song hit 100m views atleast
315,Isabella Seabolt,UChdQeV6T-DxGQN4_g3uphvA,This makes my life so much more me. It makes you feel good about yourself and just puts a smile on your face ☺️,2020-09-28 02:09:33+00:00,makes life much me makes feel good puts smile face ☺️
316,theRealChickentender,UCnikUQJKLSINRwKha3v8CSw,Vapid-Pop Presents: The Artist Formerly Known as The Head and the Heart.,2020-09-27 06:04:19+00:00,vapidpop presents artist formerly known head heart
317,TheAlphaUser,UCldrPdz0zO1YdsfIiriFz3w,This one is so good af,2020-09-23 07:46:26+00:00,one good af
318,Lhyza DC,UCPzS2bcmIarOAYcfxk-Z9wA,Ganda nmn ng music video u pohh,2020-09-22 02:35:22+00:00,ganda nmn ng music video u pohh
319,W,UCqjh6I7I2PUNMNjFWLStEJQ,How did I JUST NOW find this song? I needed this so badly at this point in my life,2020-09-21 22:30:09+00:00,find song needed badly point life
320,Athi Devaraj,UCpdfkCaxOF4AxBZ1D8P7btw,"Relaxing music
https://www.youtube.com/watch?v=u_reUMDbr_A&feature=share",2020-09-20 10:45:58+00:00,relaxing music httpswwwyoutubecomwatchvureumdbrafeatureshare
321,I am leighgend,UCUjOcLW7US6U9A6M8iPIuCg,the dislikes came from hornets,2020-09-19 12:45:43+00:00,dislikes came hornets
322,Pumpkin,UCV7HQ3lllOqXrCvadcy0dUA,I too want that bee costume *^*,2020-09-17 02:24:33+00:00,want bee costume 
323,Sharon Sorhie,UCU5IZhY0GBofBzDINq2R3ww,I've been listening to this song for two day continuous without listening to any song,2020-09-16 01:10:21+00:00,listening song two day continuous without listening song
324,bella goth,UC_R8-8EOCCoCZZZAZ4yJinQ,came from webtoon called match made in hell 😍,2020-09-14 05:15:53+00:00,came webtoon called match made hell 😍
325,maineah north,UCaoj_LX6TdZekqtDL7np6bg,It took me 5 hours and I finally found this beautiful song,2020-09-13 23:52:39+00:00,took 5 hours finally found beautiful song
326,kobe24713,UCX3P9FyJLE54N-ZQX1zp-eg,I truly do not understand how these guys aren't much bigger,2020-09-13 01:08:37+00:00,truly understand guys much bigger
327,sanitythroughmadness,UCq6zyeGwxoeDawmzMSqjRRA,"Anyone's eyes start tearing up when she starts singing that part ""I want you to decide..."" or is it just me? 🥺",2020-09-11 17:13:20+00:00,anyone eyes start tearing starts singing part i want decide me 🥺
328,Amie Pendleton-Knoll,UCH1YYCWhcl31mmmScTqsoPw,"Volunteer Park, Seattle??!",2020-09-11 01:59:55+00:00,volunteer park seattle
329,Odette Aca-ac,UCeVAeS3JJYAg08A2gJsQNXw,this sing has fascinated me since the first time i heard it,2020-09-09 01:43:12+00:00,sing fascinated since first time heard
